run_name,model,phase,params.classes,params.val_rows,params.train_rows,params.used_SMOTE,params.n_features,params.test_rows,params.clf__max_iter,params.clf__penalty,params.clf__solver,params.clf__multi_class,params.clf__C,params.best_clf__min_samples_leaf,params.best_clf__n_estimators,model,phase,params.best_clf__max_depth,params.best_clf__class_weight,params.best_clf__max_features,params.best_clf__C,params.best_clf__solver,params.best_clf__penalty,params.clf__max_depth,params.clf__min_samples_leaf,params.clf__n_estimators,params.clf__max_features,params.clf__min_samples_split,params.clf__colsample_bytree,params.clf__learning_rate,params.clf__subsample,params.best_clf__subsample,params.best_clf__reg_lambda,params.best_clf__colsample_bytree,params.best_clf__learning_rate,params.best_clf__criterion,params.best_clf__min_samples_split,params.clf__criterion,params.grid_model,params.scoring,params.demo,metrics.train_accuracy,metrics.train_f1_macro,metrics.test_f1_macro,metrics.val_f1_macro,metrics.val_f1_weighted,metrics.val_accuracy,metrics.test_f1_weighted,metrics.test_accuracy,metrics.train_f1_weighted,metrics.val_mean_AUC,metrics.val_mean_AP,metrics.test_mean_AP,metrics.train_mean_AP,metrics.test_mean_AUC,metrics.train_mean_AUC,metrics.best_cv_f1_macro,metrics.accuracy
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"0,1,2",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
LogisticRegression,,,"Down,Sideways,Up",2769,12279,True,17,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41949670168580505,0.4083540205318988,0.4451445382334774,0.36008103518036944,0.41710983573283644,0.4633441675695197,0.5040859615045794,0.5097684515195369,0.40835402053189873,,,,,,,,
