run_id,run_name,start_time,end_time,status,model,phase,params.best_clf__min_samples_split,params.eval_splits,params.test_rows,params.best_clf__min_samples_leaf,params.train_rows,params.best_clf__max_depth,params.best_clf__criterion,params.phase,params.n_features,params.fit_on,params.val_rows,params.model,params.classes,params.best_clf__subsample,params.best_clf__min_child_weight,params.best_clf__colsample_bytree,params.best_clf__reg_alpha,params.best_clf__reg_lambda,params.best_clf__learning_rate,params.best_clf__n_estimators,params.best_clf__max_features,params.best_clf__solver,params.best_clf__C,params.best_clf__penalty,params.best_clf__multi_class,params.used_SMOTE,params.clf__max_iter,params.clf__penalty,params.clf__C,params.clf__multi_class,params.clf__solver,params.best_clf__class_weight,params.clf__max_depth,params.clf__min_samples_split,params.clf__min_samples_leaf,params.clf__max_features,params.clf__n_estimators,params.clf__colsample_bytree,params.clf__learning_rate,params.clf__subsample,params.clf__criterion,metrics.test_precision_macro,metrics.test_precision_weighted,metrics.test_mean_AP,metrics.test_mean_AUC,metrics.test_f1_weighted,metrics.test_f1_macro,metrics.test_accuracy,metrics.test_recall_weighted,metrics.test_recall_macro,metrics.train_f1_weighted,metrics.train_f1_macro,metrics.val_accuracy,metrics.val_f1_macro,metrics.val_f1_weighted,metrics.train_accuracy,metrics.train_precision_weighted,metrics.val_precision_macro,metrics.val_mean_AUC,metrics.train_mean_AUC,metrics.val_recall_macro,metrics.train_recall_weighted,metrics.train_mean_AP,metrics.train_recall_macro,metrics.train_precision_macro,metrics.val_precision_weighted,metrics.val_recall_weighted,metrics.val_mean_AP,tags.eval_splits,tags.mlflow.source.type,run_name,tags.mlflow.user,phase,tags.fit_on,model,tags.mlflow.source.name,tags.task,tags.data_source,tags.period
e746575ff33f49a58d1264632640cbf6,Logistic (linear)-final-20250825-135541,2025-08-25 13:55:41.341000+00:00,2025-08-25 13:55:50.528000+00:00,FINISHED,Logistic (linear),final,,test,3140,,7801,,,final,9,train+val,3017,Logistic (linear),"Down,Sideway,Up",,,,,,,,,saga,0.1,l2,,,,,,,,,,,,,,,,,,0.641139886759661,0.6410775259007747,0.6578950440228987,0.8004206598502132,0.6388096712911087,0.6355773437624426,0.6401273885350318,0.6401273885350318,0.6338047105034065,,,,,,,,,,,,,,,,,,,test,LOCAL,Logistic (linear)-final-20250825-135541,root,final,train+val,Logistic (linear),/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
3aed6e8270c041c2b0f1e7b6ab41a7cf,Logistic (linear)-final-20250825-132228,2025-08-25 13:22:28.513000+00:00,2025-08-25 13:22:37.286000+00:00,FINISHED,Logistic (linear),final,,test,3140,,7801,,,final,9,train+val,3017,Logistic (linear),"Down,Sideway,Up",,,,,,,,,saga,0.3,l2,ovr,,,,,,,,,,,,,,,,,0.6374044081033624,0.638845945405915,0.64259644548848,0.7995251808441934,0.6386305511197423,0.6353993799990966,0.639171974522293,0.639171974522293,0.6342269889799059,,,,,,,,,,,,,,,,,,,test,LOCAL,Logistic (linear)-final-20250825-132228,root,final,train+val,Logistic (linear),/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
1462332d04484ae3ab96eb113c728524,Decision Tree-final-20250825-142105,2025-08-25 14:21:05.126000+00:00,2025-08-25 14:21:14.576000+00:00,FINISHED,Decision Tree,final,2,test,3140,10,7801,7,entropy,final,11,train+val,3017,Decision Tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6303489629829581,0.6358084924793094,0.6479886655407596,0.7873233834995695,0.5999112301211188,0.6034036469714715,0.6127388535031847,0.6127388535031847,0.624007417504329,,,,,,,,,,,,,,,,,,,test,LOCAL,Decision Tree-final-20250825-142105,root,final,train+val,Decision Tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
f9fea03f2718404db6ff9f76bba21b8b,Decision Tree-final-20250825-141146,2025-08-25 14:11:46.739000+00:00,2025-08-25 14:12:01.908000+00:00,FINISHED,Decision Tree,final,2,test,3140,10,7801,7,entropy,final,11,train+val,3017,Decision Tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6303489629829581,0.6358084924793094,0.6479886655407596,0.7873233834995695,0.5999112301211188,0.6034036469714715,0.6127388535031847,0.6127388535031847,0.624007417504329,,,,,,,,,,,,,,,,,,,test,LOCAL,Decision Tree-final-20250825-141146,root,final,train+val,Decision Tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
232c8ede790e455f93885e29cc2ca50a,20250825-175403-final-20250825-175351-final-tree,2025-08-25 17:54:03.904000+00:00,2025-08-25 17:54:13.952000+00:00,FINISHED,20250825-175351-final-tree,final,2,test,3140,5,7801,7,gini,final,11,train+val,3017,20250825-175351-final-tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629664993449353,0.6335075317015209,0.6282282004139339,0.7735301075912501,0.5747645248187618,0.5773546242813946,0.5914012738853504,0.5914012738853504,0.5951187434543646,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-175403-final-20250825-175351-final-tree,root,final,train+val,20250825-175351-final-tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
6d6b55dbeb6041ac9fe623c5333ccb4b,20250825-174345-final-20250825-174334-final-tree,2025-08-25 17:43:45.663000+00:00,2025-08-25 17:43:56.069000+00:00,FINISHED,20250825-174334-final-tree,final,2,test,3140,5,7801,7,gini,final,11,train+val,3017,20250825-174334-final-tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629664993449353,0.6335075317015209,0.6282282004139339,0.7735301075912501,0.5747645248187618,0.5773546242813946,0.5914012738853504,0.5914012738853504,0.5951187434543646,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-174345-final-20250825-174334-final-tree,root,final,train+val,20250825-174334-final-tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
bc3c2bfaf42048f5a0d80e04f698717b,20250825-172005-final-20250825-172005-final-tree,2025-08-25 17:20:05.925000+00:00,2025-08-25 17:20:16.900000+00:00,FINISHED,20250825-172005-final-tree,final,2,test,3140,5,7801,7,gini,final,11,train+val,3017,20250825-172005-final-tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629664993449353,0.6335075317015209,0.6282282004139339,0.7735301075912501,0.5747645248187618,0.5773546242813946,0.5914012738853504,0.5914012738853504,0.5951187434543646,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-172005-final-20250825-172005-final-tree,root,final,train+val,20250825-172005-final-tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
4c314322c4c645788d7d242255c43db3,20250826-093456-final-20250826-093424-final-xgb,2025-08-26 09:34:56.765000+00:00,2025-08-26 09:35:05.191000+00:00,FINISHED,20250826-093424-final-xgb,final,,test,3140,,7801,4,,final,11,train+val,3017,20250826-093424-final-xgb,"Down,Sideway,Up",0.8,1,1.0,0,2.0,0.1,200,,,,,,,,,,,,,,,,,,,,,,0.6611545399095863,0.6604142637861211,0.7354987472371454,0.8386920045900864,0.5690217366837734,0.5763599139115986,0.6050955414012739,0.6050955414012739,0.6094498996008948,,,,,,,,,,,,,,,,,,,test,LOCAL,20250826-093456-final-20250826-093424-final-xgb,root,final,train+val,20250826-093424-final-xgb,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
a72e77d3d7ae473faa9ce6be53b7b9f7,20250825-194153-final-20250825-194111-final-xgb,2025-08-25 19:41:53.437000+00:00,2025-08-25 19:42:10.476000+00:00,FINISHED,20250825-194111-final-xgb,final,,test,3140,,7801,4,,final,11,train+val,3017,20250825-194111-final-xgb,"Down,Sideway,Up",0.8,1,1.0,0,2.0,0.1,200,,,,,,,,,,,,,,,,,,,,,,0.6611545399095863,0.6604142637861211,0.7354987472371454,0.8386920045900864,0.5690217366837734,0.5763599139115986,0.6050955414012739,0.6050955414012739,0.6094498996008948,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-194153-final-20250825-194111-final-xgb,root,final,train+val,20250825-194111-final-xgb,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
c9ae851a57074c6782292386ac6734e5,20250825-175414-final-20250825-175351-final-rf,2025-08-25 17:54:14.020000+00:00,2025-08-25 17:54:38.577000+00:00,FINISHED,20250825-175351-final-rf,final,2,test,3140,5,7801,None,,final,11,train+val,3017,20250825-175351-final-rf,"Down,Sideway,Up",,,,,,,300,sqrt,,,,,,,,,,,,,,,,,,,,,0.6747729424559662,0.673920464309502,0.727388704844707,0.832266755921626,0.5623107212156564,0.5711428169291008,0.6054140127388535,0.6054140127388535,0.6106240286061837,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-175414-final-20250825-175351-final-rf,root,final,train+val,20250825-175351-final-rf,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
